,molecule_chembl_id,canonical_smiles
188,CHEMBL2381385,COc1ccc2cc(C(=O)CN3CCOCC3)c(=O)oc2c1
189,CHEMBL2381386,COc1ccc2cc(C(=O)CN3CCC(Cc4ccccc4)CC3)c(=O)oc2c1
190,CHEMBL2381387,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccccc2)c1
196,CHEMBL2393066,Cc1c(OCCCCCN2CCN(C)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
197,CHEMBL2392939,Cc1c(OCCCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12
198,CHEMBL2393062,Cc1c(OCCCCCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
199,CHEMBL2393067,CCN(CC)CCCCOc1ccc2c(=O)cc(-c3ccccc3)oc2c1C
200,CHEMBL2392940,Cc1c(OCCCCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12
201,CHEMBL2393070,Cc1c(OCCCCCN(C)C)ccc2c(=O)cc(-c3ccccc3)oc12
202,CHEMBL2393063,Cc1c(OCCCCN2CCCCC2)ccc2c(=O)cc(-c3ccccc3)oc12
203,CHEMBL2393061,Cc1c(OCCCCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
204,CHEMBL2393055,Cc1c(OCCCCN2CCCCC2C)ccc2c(=O)cc(-c3ccccc3)oc12
205,CHEMBL2393056,Cc1c(OCCCCCN2CCCCC2C)ccc2c(=O)cc(-c3ccccc3)oc12
206,CHEMBL2393069,Cc1c(OCCCCN(C)C)ccc2c(=O)cc(-c3ccccc3)oc12
207,CHEMBL2393065,Cc1c(OCCCCN2CCN(C)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
208,CHEMBL2392941,Cc1c(OCCN2CCCCC2C)ccc2c(=O)cc(-c3ccccc3)oc12
209,CHEMBL2392937,Cc1c(OCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12
210,CHEMBL2393058,Cc1c(OCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
211,CHEMBL2393072,Cc1c(OCCCCCN2CCOCC2)ccc2c(=O)cc(-c3ccccc3)oc12
212,CHEMBL2393060,Cc1c(OCCCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
213,CHEMBL2392938,Cc1c(OCCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12
214,CHEMBL2393059,Cc1c(OCCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12
215,CHEMBL2393071,Cc1c(OCCCCN2CCOCC2)ccc2c(=O)cc(-c3ccccc3)oc12
216,CHEMBL2391486,Cc1cc(=O)oc2cc(OCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
217,CHEMBL2391487,Cc1cc(=O)oc2cc(OCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
218,CHEMBL2391489,Cc1cc(=O)oc2cc(OCCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
219,CHEMBL2391653,O=C(CN1CCN(CCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
220,CHEMBL2391490,Cc1cc(=O)oc2cc(OCCCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
221,CHEMBL2391485,O=C(CN1CCN(CCCCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
222,CHEMBL2391483,O=C(CN1CCN(CCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
223,CHEMBL2391654,O=C(CN1CCN(CCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
224,CHEMBL2391488,Cc1cc(=O)oc2cc(OCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
225,CHEMBL2391484,O=C(CN1CCN(CCCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
226,CHEMBL2391492,COc1cc(=O)oc2cc(OCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
227,CHEMBL2391477,COc1cc(=O)oc2cc(OCCCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
228,CHEMBL51628,O=c1ccc2ccc(O)cc2o1
229,CHEMBL2391652,O=C(CN1CCNCC1)Nc1c2c(nc3ccccc13)CCCC2
230,CHEMBL2391476,COc1cc(=O)oc2cc(OCCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
231,CHEMBL2391481,O=C(CN1CCN(CCCCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
232,CHEMBL2391480,O=C(CN1CCN(CCCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
233,CHEMBL2391479,O=C(CN1CCN(CCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
234,CHEMBL2391482,O=C(CN1CCN(CCCCCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
235,CHEMBL2391478,O=C(CN1CCN(CCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2
236,CHEMBL325841,O=c1cc(-c2ccccc2)c2ccc(O)cc2o1
237,CHEMBL2391651,COc1cc(=O)oc2cc(O)ccc12
